Generation, o25, o50, o75, n25, n50, n75 
0,4449.32235843,6060.21367629,6296.91862072,514.07696778,700.562222969,727.964432836
1,6971.04787306,7287.40547242,11783.4746349,806.005182239,842.62840256,1363.11702635
2,1878.17845237,2473.56229405,7901.99668813,216.427820298,285.352586618,913.776715564
3,5413.14321212,14143.6183809,16004.5656934,625.653941263,1636.33968505,1851.77273794
4,3968.08505897,9995.6474694,13742.0315738,458.366405807,1156.14874643,1589.84988319
5,5552.51470588,7018.23242672,9974.3103366,641.78831873,811.467514448,1153.67864767
6,8610.00293552,10936.3426655,16848.3419505,995.739244169,1265.04857211,1949.45271726
7,14417.2339369,16220.5965583,17744.0230297,1668.01486154,1876.78160757,2053.14147191
8,6388.2907592,8384.65968046,10381.0286017,738.542152371,969.652323246,1200.76249412
