Generation, o25, o50, o75, n25, n50, n75 
0,6.52699638544,7.39035445572,30.6380242207,-0.962172449657,-0.957168812618,-0.822435721549
1,4.41462649273,5.61233264714,8.75024148629,-0.974414800309,-0.967473431389,-0.949287515912
2,8.56406572729,21.1803206146,34.3581270949,-0.950366507301,-0.877248339508,-0.800875669966
3,20.2449180279,22.2070567652,41.3664692352,-0.882669514325,-0.871297836224,-0.76025845502
4,5.44522353635,5.86219036623,18.9558347336,-0.968441921017,-0.966025367856,-0.890140464259
5,3.27018171985,5.39097978653,8.82403426999,-0.981047490096,-0.968756293518,-0.948859845958
6,9.90580631078,13.1083554576,16.3253310987,-0.942590379282,-0.924029837507,-0.905385686226
7,28.3365943876,28.3365943876,28.3365943876,-0.835773779016,-0.835773779016,-0.835773779016
8,71.9260873449,71.9260873449,71.9260873449,-0.583148583303,-0.583148583303,-0.583148583303
