Generation, o25, o50, o75, n25, n50, n75 
0,4792.46082875,7741.18216508,11756.1650674,43.9097106659,71.5419077315,109.165944091
1,474.727114656,1950.62300855,9998.06642419,3.44862423007,17.2791092223,92.6909630301
2,3176.34689054,3176.34689054,6548.44397285,28.765255247,28.765255247,60.3648675788
3,1134.09291984,8630.44258418,8630.44258418,9.62748068651,79.8750855196,79.8750855196
4,2981.44078131,7544.57116566,12291.9744657,26.9388079821,69.6994840971,114.186964796
5,1343.98347237,3111.51503391,3182.79103062,11.5943457945,28.1577218676,28.8256426923
6,8923.27931544,14274.8128939,19626.3464723,82.6192316573,132.76796176,182.916691862
7,3677.42566394,6723.39669967,9769.36773539,33.4608184531,62.004333528,90.5478486029
