Generation, o25, o50, o75, n25, n50, n75 
0,5152.75608936,11221.7167536,11221.7167536,143.945801477,314.664219418,314.664219418
1,1272.28197041,4007.54219343,12379.0657607,34.7889887874,111.731207359,347.220171324
2,286.867640234,1296.02024011,5847.09138114,7.06951839183,35.45674066,163.477287854
3,991.732171869,3454.81106487,4349.81350344,26.8971897776,96.1830123657,121.359217785
4,1913.06895513,6742.99444172,8329.3351317,52.814174041,188.678827556,233.302213321
5,654.81946383,2995.45533062,9351.99967106,17.4199155485,83.2614449737,262.069523228
6,689.543711275,689.543711275,4045.51383671,18.3967003582,18.3967003582,112.79934064
7,3544.06253028,4167.17355824,4790.28458621,98.6936348293,116.221599629,133.749564429
8,9488.09139783,9488.09139783,9488.09139783,265.897751087,265.897751087,265.897751087
